pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
5WNM,26,C29,C,1,3,0.330825991,2.805625,-0.3943751,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,16,0.375,,,Not accessible
5WNM,30,C33,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,16,0.0625,,,Not accessible
5WNM,8,C9,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,16,0.25,,,Not accessible
5WNM,13,N14,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,16,0.25,,,Not accessible
5WNM,18,N20,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,16,0.125,,,Not accessible
5WNM,27,N30,N,1,3,0.775959352,1.8099303,-1.3900697,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,13,16,0.1875,,,Not accessible
5ZV2,0,C1,C,3,4,15.30822393,3.530997,0.330997,ok,TRUE,3.8105118,4.7,8.510511,30,9.691274279,-22.53180179,22.0370701,0.194616873,0.320375976,0.927083333,ok,,1,16,16,0,1.378868404,10.24985105,low rigidification
5ZV2,27,C28,C,2,4,0.009622306,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.010 <= 0.100,0,16,16,0,,,Not accessible
5ZV2,28,C29,C,2,4,0.345354301,3.2081685,0.008168459,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,16,16,0,,,No cone found
5ZV2,14,N15,N,2,3,8.316648455,3.416298,0.21629786,ok,TRUE,3.387703,4.2,7.5877028,33,12.22177732,-20.38804923,21.27755379,-0.052167923,0.134176504,0.989583333,ok,,1,15,16,0.0625,0.816250735,3.965664239,low rigidification
5ZV2,10,C11,C,1,3,0.266103031,2.5372424,-0.66275764,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,12,16,0.25,,,Not accessible
5ZV2,17,C18,C,1,3,0.126551795,2.911134,-0.28886604,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,16,0.4375,,,Not accessible
5ZV2,20,C21,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,16,0.375,,,Not accessible
5ZV2,21,C22,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,16,0.4375,,,Not accessible
5ZV2,26,C27,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,16,0.0625,,,Not accessible
5ZV2,3,C4,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,16,0.1875,,,Not accessible
5ZV2,6,C7,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,16,0.25,,,Not accessible
5ZV2,7,C8,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,16,0.3125,,,Not accessible
5ZV2,22,N23,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,16,0.25,,,Not accessible
5ZV2,25,N26,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,16,0.125,,,Not accessible
6BBU,8,C10,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,12,0,,,Not accessible
6BBU,9,C11,C,3,4,1.257837172,3.7957842,0.5957842,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,9,12,0.25,,,No cone found
6BBU,4,C5,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,12,0.5,,,Not accessible
6BBU,15,C7,C,2,4,0.276093971,2.8988855,-0.30111456,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,6,12,0.5,,,Not accessible
6BBU,6,C8,C,2,4,2.013009397,3.9015892,0.7015891,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,10,12,0.166666667,,,No cone found
6BBU,7,C9,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,12,0.083333333,,,Not accessible
6BBU,21,C,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,12,0.083333333,,,Not accessible
6BBU,10,C12,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,12,0.083333333,,,Not accessible
6BBU,11,C13,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,12,0,,,Not accessible
6BBU,3,C4,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,12,0.416666667,,,Not accessible
6BBU,5,C6,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,12,0.416666667,,,Not accessible
6BBU,2,N3,N,1,3,0.22611259,1.8947138,-1.3052863,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,8,12,0.333333333,,,Not accessible
6BBU,19,N4,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,12,0,,,Not accessible
